condition,position_a_ratio,training_samples,duplicated,n_runs,n_samples,orig_acc_mean_pct,orig_acc_seed_std_pct,swap_acc_mean_pct,swap_acc_seed_std_pct,consistency_mean_pct,consistency_seed_std_pct,first_pos_rate_mean_pct,first_pos_rate_seed_std_pct,reference_consistency_pct,consistency_loss_pp,orig_acc_values_pct,consistency_values_pct,first_pos_rate_values_pct,source_paths,note
50 mirrored balanced reference,50,4178,yes,5,449;449;449;449;449,83.69710467706012,1.1068840659054944,81.42538975501114,1.625987728146458,84.00890868596882,0.7618098608680194,49.9554565701559,1.0374890600313695,84.00890868596882,0.0,84.632517;82.182628;84.409800;82.850780;84.409800,85.300668;83.741648;83.296214;83.741648;83.964365,50.111359;48.552339;51.336303;49.443207;50.334076,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json,Multi-seed GRPO full balanced reference used for consistency-loss normalization.
50 non-duplicated balanced,50,2089,no,1,449,83.07349665924276,,79.06458797327394,,82.62806236080178,,50.222717149220486,,84.00890868596882,1.38084632516704,83.073497,82.628062,50.222717,results/GRPO_balanced_nodupe/eval/eval_results.json,Single-seed control with one balanced orientation per training instance.
60 ratio,60,2089,no,1,449,83.51893095768375,,77.9510022271715,,83.07349665924276,,50.66815144766147,,84.00890868596882,0.9354120267260568,83.518931,83.073497,50.668151,results/GRPO_ratio60/eval/eval_results.json,Single-seed intermediate confound-ratio diagnostic.
75 ratio,75,2089,no,1,449,85.30066815144765,,77.728285077951,,85.74610244988864,,52.00445434298441,,84.00890868596882,-1.7371937639198198,85.300668,85.746102,52.004454,results/GRPO_ratio75/eval/eval_results.json,Single-seed intermediate confound-ratio diagnostic.
80 ratio,80,2089,no,1,449,87.75055679287304,,72.82850779510022,,80.17817371937639,,55.45657015590201,,84.00890868596882,3.8307349665924306,87.750557,80.178174,55.456570,results/GRPO_ratio80/eval/eval_results.json,Single-seed intermediate confound-ratio diagnostic.
90 ratio,90,2089,no,1,449,88.64142538975501,,72.16035634743875,,76.61469933184856,,56.57015590200446,,84.00890868596882,7.394209354120262,88.641425,76.614699,56.570156,results/GRPO_ratio90/eval/eval_results.json,Single-seed intermediate confound-ratio diagnostic.
95 ratio,95,2089,no,1,449,87.08240534521158,,72.16035634743875,,77.9510022271715,,55.56792873051225,,84.00890868596882,6.057906458797325,87.082405,77.951002,55.567929,results/GRPO_ratio95/eval/eval_results.json,Single-seed intermediate confound-ratio diagnostic.
100 fully unbalanced,100,2089,no,4,449;449;449;449,94.65478841870825,0.909238954262504,54.84409799554566,8.31618200501051,58.74164810690423,9.091252922889009,68.8195991091314,4.336793409631743,84.00890868596882,25.267260579064587,93.986637;95.991091;94.209354;94.432071,61.692650;45.211581;63.697105;64.365256,67.371938;75.278396;66.481069;66.146993,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json,Multi-seed GRPO full unbalanced endpoint.
