model,checkpoint,n_runs,n_samples,orig_acc_mean_pct,orig_acc_ci95_low_pct,orig_acc_ci95_high_pct,swap_acc_mean_pct,swap_acc_ci95_low_pct,swap_acc_ci95_high_pct,orig_swap_gap_pp,consistency_mean_pct,consistency_ci95_low_pct,consistency_ci95_high_pct,first_pos_rate_mean_pct,first_pos_rate_ci95_low_pct,first_pos_rate_ci95_high_pct,position_bias_pct,source_paths,note
JudgeLRM-7B,nuojohnchen/JudgeLRM-7B,1,449,81.29175946547885,77.42469430443273,84.62792798235837,66.14699331848553,61.64945034835767,70.37058606297582,15.144766146993316,75.7238307349666,71.55064303783799,79.46058738297604,53.11804008908686,49.847812973136804,56.36170417117692,13.3630289532294,results/judgelrm_7b/eval/eval_results.json,Public JudgeLRM 7B checkpoint evaluated with the same two-order diagnostic.
JudgeLRM-3B,nuojohnchen/JudgeLRM-3B,1,449,76.83741648106904,72.71751931344575,80.5019894805637,55.90200445434298,51.278696114670076,60.42517926326559,20.935412026726063,67.92873051224944,63.47502681867332,72.07825498977284,56.6815144766147,53.41892637980028,59.887181786586275,15.367483296213807,results/judgelrm_3b/eval/eval_results.json,Public JudgeLRM 3B checkpoint evaluated with the same two-order diagnostic.
