model,reward,n_runs,n_samples,orig_acc_mean_pct,orig_acc_seed_std_pct,swap_acc_mean_pct,swap_acc_seed_std_pct,consistency_mean_pct,consistency_seed_std_pct,first_pos_rate_mean_pct,first_pos_rate_seed_std_pct,orig_acc_values_pct,consistency_values_pct,first_pos_rate_values_pct,source_paths,note
Qwen2.5-7B,Accuracy only,3,449;449;449,94.72902746844841,0.7159354685221198,55.67928730512249,6.4202829868149545,59.76243504083148,7.625691219699895,68.11432813659985,3.6210091754290095,94.432071;95.545657;94.209354,60.801782;51.670379;66.815145,67.371938;72.048998;64.922049,results/EXP-006_accuracy_only/eval/eval_results.json;results/EXP-006_accuracy_s2/eval/eval_results.json;results/EXP-006_accuracy_s3/eval/eval_results.json,Multi-seed accuracy-reward GRPO on unbalanced data.
Qwen2.5-7B,+ Decisive,2,449;449,93.87527839643653,1.1023936455024088,61.02449888641426,5.354483421011717,66.25835189309576,6.456877066514126,65.03340757238307,3.464665743007584,94.654788;93.095768,61.692650;70.824053,67.483296;62.583519,results/EXP-007a_acc_decisive/eval/eval_results.json;results/EXP-007a_acc_decisive_s2/eval/eval_results.json,Multi-seed accuracy plus decisiveness reward on unbalanced data.
Qwen2.5-7B,+ Confidence proxy,2,449;449,95.43429844097994,0.4724544195010335,53.11804008908686,7.401785905516197,56.12472160356348,7.874240325017235,69.43207126948776,4.0158625657587885,95.100223;95.768374,61.692650;50.556793,66.592428;72.271715,results/EXP-008_acc_calib/eval/eval_results.json;results/EXP-008_acc_calib_s2/eval/eval_results.json,Multi-seed accuracy plus fixed-confidence proxy on unbalanced data.
Qwen2.5-7B,Full composite,4,449;449;449;449,94.65478841870825,0.909238954262504,54.84409799554566,8.31618200501051,58.74164810690423,9.091252922889009,68.8195991091314,4.336793409631743,93.986637;95.991091;94.209354;94.432071,61.692650;45.211581;63.697105;64.365256,67.371938;75.278396;66.481069;66.146993,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json,Multi-seed full composite reward on unbalanced data.
Qwen3-8B,Accuracy only,1,449,88.41870824053451,,73.4966592427617,,78.84187082405344,,55.233853006681514,,88.418708,78.841871,55.233853,results/GRPO_qwen3_8b_unbalanced/eval/eval_results.json,Single-seed accuracy-reward GRPO on unbalanced data.
Qwen3-8B,+ Decisive,1,449,88.19599109131403,,74.83296213808464,,81.9599109131403,,55.56792873051225,,88.195991,81.959911,55.567929,results/GRPO_qwen3_8b_decisive_unbal/eval/eval_results.json,Single-seed accuracy plus decisiveness reward on unbalanced data.
Qwen3-8B,+ Confidence proxy,1,449,89.086859688196,,72.16035634743875,,77.9510022271715,,57.12694877505567,,89.086860,77.951002,57.126949,results/GRPO_qwen3_8b_calib_unbal/eval/eval_results.json,Single-seed accuracy plus fixed-confidence proxy on unbalanced data.
Qwen3-8B,Full composite,1,449,87.75055679287304,,74.38752783964365,,80.84632516703786,,55.45657015590201,,87.750557,80.846325,55.456570,results/GRPO_qwen3_8b_full_composite_unbal/eval/eval_results.json,Single-seed full composite reward on unbalanced data.
