run_name,eval_results_path,metrics_path,stored_n,recomputed_n,stored_accuracy_pct,recomputed_orig_acc_pct,accuracy_diff_pp,stored_consistency_pct,recomputed_consistency_pct,consistency_diff_pp,status
DPO_qwen3_8b_balanced,results/DPO_qwen3_8b_balanced/eval/eval_results.json,results/DPO_qwen3_8b_balanced/eval/metrics.json,449,449,88.64142538975501,88.64142538975501,0.0,85.30066815144765,85.30066815144765,0.0,ok
DPO_qwen3_8b_unbalanced,results/DPO_qwen3_8b_unbalanced/eval/eval_results.json,results/DPO_qwen3_8b_unbalanced/eval/metrics.json,449,449,89.30957683741649,89.30957683741649,0.0,81.29175946547885,81.29175946547885,0.0,ok
DPO_unbalanced,results/DPO_unbalanced/eval/eval_results.json,results/DPO_unbalanced/eval/metrics.json,449,449,94.20935412026726,94.20935412026726,0.0,54.342984409799556,54.342984409799556,0.0,ok
EXP-006_accuracy_only,results/EXP-006_accuracy_only/eval/eval_results.json,results/EXP-006_accuracy_only/eval/metrics.json,449,449,94.43207126948775,94.43207126948775,0.0,60.801781737193764,60.801781737193764,0.0,ok
eval_ckpt100,results/EXP-006_accuracy_only/eval_ckpt100/eval_results.json,results/EXP-006_accuracy_only/eval_ckpt100/metrics.json,449,449,85.96881959910914,85.96881959910914,0.0,80.84632516703786,80.84632516703786,0.0,ok
eval_ckpt200,results/EXP-006_accuracy_only/eval_ckpt200/eval_results.json,results/EXP-006_accuracy_only/eval_ckpt200/metrics.json,449,449,89.086859688196,89.086859688196,0.0,76.83741648106904,76.83741648106904,0.0,ok
eval_ckpt300,results/EXP-006_accuracy_only/eval_ckpt300/eval_results.json,results/EXP-006_accuracy_only/eval_ckpt300/metrics.json,449,449,92.20489977728286,92.20489977728286,0.0,65.25612472160356,65.25612472160356,0.0,ok
EXP-006_accuracy_s2,results/EXP-006_accuracy_s2/eval/eval_results.json,results/EXP-006_accuracy_s2/eval/metrics.json,449,449,95.54565701559021,95.54565701559021,0.0,51.67037861915368,51.67037861915368,0.0,ok
EXP-006_accuracy_s3,results/EXP-006_accuracy_s3/eval/eval_results.json,results/EXP-006_accuracy_s3/eval/metrics.json,449,449,94.20935412026726,94.20935412026726,0.0,66.815144766147,66.815144766147,0.0,ok
EXP-006b_accuracy_balanced,results/EXP-006b_accuracy_balanced/eval/eval_results.json,results/EXP-006b_accuracy_balanced/eval/metrics.json,449,449,85.96881959910914,85.96881959910914,0.0,84.85523385300668,84.85523385300668,0.0,ok
EXP-006b_accuracy_balanced_s2,results/EXP-006b_accuracy_balanced_s2/eval/eval_results.json,results/EXP-006b_accuracy_balanced_s2/eval/metrics.json,449,449,82.62806236080178,82.62806236080178,0.0,83.96436525612472,83.96436525612472,0.0,ok
EXP-006b_accuracy_balanced_s3,results/EXP-006b_accuracy_balanced_s3/eval/eval_results.json,results/EXP-006b_accuracy_balanced_s3/eval/metrics.json,449,449,83.29621380846325,83.29621380846325,0.0,84.4097995545657,84.4097995545657,0.0,ok
EXP-007a_acc_decisive,results/EXP-007a_acc_decisive/eval/eval_results.json,results/EXP-007a_acc_decisive/eval/metrics.json,449,449,94.65478841870824,94.65478841870824,0.0,61.69265033407573,61.69265033407573,0.0,ok
eval_ckpt100,results/EXP-007a_acc_decisive/eval_ckpt100/eval_results.json,results/EXP-007a_acc_decisive/eval_ckpt100/metrics.json,449,449,85.30066815144765,85.30066815144765,0.0,81.29175946547885,81.29175946547885,0.0,ok
eval_ckpt200,results/EXP-007a_acc_decisive/eval_ckpt200/eval_results.json,results/EXP-007a_acc_decisive/eval_ckpt200/metrics.json,449,449,89.97772828507794,89.97772828507794,0.0,75.94654788418708,75.94654788418708,0.0,ok
eval_ckpt300,results/EXP-007a_acc_decisive/eval_ckpt300/eval_results.json,results/EXP-007a_acc_decisive/eval_ckpt300/metrics.json,449,449,93.54120267260579,93.54120267260579,0.0,65.47884187082406,65.47884187082406,0.0,ok
EXP-007a_acc_decisive_s2,results/EXP-007a_acc_decisive_s2/eval/eval_results.json,results/EXP-007a_acc_decisive_s2/eval/metrics.json,449,449,93.0957683741648,93.0957683741648,0.0,70.8240534521158,70.8240534521158,0.0,ok
eval_ckpt100,results/EXP-007a_acc_decisive_s2/eval_ckpt100/eval_results.json,results/EXP-007a_acc_decisive_s2/eval_ckpt100/metrics.json,449,449,83.07349665924276,83.07349665924276,0.0,82.40534521158129,82.40534521158129,0.0,ok
eval_ckpt200,results/EXP-007a_acc_decisive_s2/eval_ckpt200/eval_results.json,results/EXP-007a_acc_decisive_s2/eval_ckpt200/metrics.json,449,449,88.19599109131403,88.19599109131403,0.0,75.05567928730513,75.05567928730513,0.0,ok
eval_ckpt300,results/EXP-007a_acc_decisive_s2/eval_ckpt300/eval_results.json,results/EXP-007a_acc_decisive_s2/eval_ckpt300/metrics.json,449,449,90.64587973273942,90.64587973273942,0.0,74.83296213808464,74.83296213808464,0.0,ok
EXP-007b_decisive_balanced,results/EXP-007b_decisive_balanced/eval/eval_results.json,results/EXP-007b_decisive_balanced/eval/metrics.json,449,449,83.51893095768375,83.51893095768375,0.0,81.73719376391982,81.73719376391982,0.0,ok
EXP-008_acc_calib,results/EXP-008_acc_calib/eval/eval_results.json,results/EXP-008_acc_calib/eval/metrics.json,449,449,95.10022271714922,95.10022271714922,0.0,61.69265033407573,61.69265033407573,0.0,ok
EXP-008_acc_calib_s2,results/EXP-008_acc_calib_s2/eval/eval_results.json,results/EXP-008_acc_calib_s2/eval/metrics.json,449,449,95.7683741648107,95.7683741648107,0.0,50.55679287305123,50.55679287305123,0.0,ok
EXP-008b_calib_balanced,results/EXP-008b_calib_balanced/eval/eval_results.json,results/EXP-008b_calib_balanced/eval/metrics.json,449,449,84.63251670378618,84.63251670378618,0.0,82.62806236080178,82.62806236080178,0.0,ok
EXP-009_full_composite,results/EXP-009_full_composite/eval/eval_results.json,results/EXP-009_full_composite/eval/metrics.json,449,449,93.98663697104676,93.98663697104676,0.0,61.69265033407573,61.69265033407573,0.0,ok
eval_ckpt100,results/EXP-009_full_composite/eval_ckpt100/eval_results.json,results/EXP-009_full_composite/eval_ckpt100/metrics.json,449,449,84.63251670378618,84.63251670378618,0.0,81.73719376391982,81.73719376391982,0.0,ok
eval_ckpt200,results/EXP-009_full_composite/eval_ckpt200/eval_results.json,results/EXP-009_full_composite/eval_ckpt200/metrics.json,449,449,90.8685968819599,90.8685968819599,0.0,74.61024498886414,74.61024498886414,0.0,ok
eval_ckpt300,results/EXP-009_full_composite/eval_ckpt300/eval_results.json,results/EXP-009_full_composite/eval_ckpt300/metrics.json,449,449,93.54120267260579,93.54120267260579,0.0,65.92427616926503,65.92427616926503,0.0,ok
eval_step300,results/EXP-009_full_composite/eval_step300/eval_results.json,results/EXP-009_full_composite/eval_step300/metrics.json,449,449,94.20935412026726,94.20935412026726,0.0,67.48329621380846,67.48329621380846,0.0,ok
eval_step400,results/EXP-009_full_composite/eval_step400/eval_results.json,results/EXP-009_full_composite/eval_step400/metrics.json,449,449,95.32293986636972,95.32293986636972,0.0,63.474387527839646,63.474387527839646,0.0,ok
EXP-009_full_composite_s2,results/EXP-009_full_composite_s2/eval/eval_results.json,results/EXP-009_full_composite_s2/eval/metrics.json,449,449,95.99109131403118,95.99109131403118,0.0,45.211581291759465,45.211581291759465,0.0,ok
EXP-009_full_composite_s3,results/EXP-009_full_composite_s3/eval/eval_results.json,results/EXP-009_full_composite_s3/eval/metrics.json,449,449,94.20935412026726,94.20935412026726,0.0,63.69710467706013,63.69710467706013,0.0,ok
EXP-009_full_lr1e5,results/EXP-009_full_lr1e5/eval/eval_results.json,results/EXP-009_full_lr1e5/eval/metrics.json,449,449,98.88641425389754,98.88641425389754,0.0,38.084632516703785,38.084632516703785,0.0,ok
EXP-009_full_lr1e6,results/EXP-009_full_lr1e6/eval/eval_results.json,results/EXP-009_full_lr1e6/eval/metrics.json,449,449,83.74164810690424,83.74164810690424,0.0,83.29621380846325,83.29621380846325,0.0,ok
EXP-009_full_lr2e6,results/EXP-009_full_lr2e6/eval/eval_results.json,results/EXP-009_full_lr2e6/eval/metrics.json,449,449,85.74610244988864,85.74610244988864,0.0,81.06904231625836,81.06904231625836,0.0,ok
EXP-009_full_lr3e6,results/EXP-009_full_lr3e6/eval/eval_results.json,results/EXP-009_full_lr3e6/eval/metrics.json,449,449,89.97772828507794,89.97772828507794,0.0,75.7238307349666,75.7238307349666,0.0,ok
EXP-009_full_s4,results/EXP-009_full_s4/eval/eval_results.json,results/EXP-009_full_s4/eval/metrics.json,449,449,94.43207126948775,94.43207126948775,0.0,64.3652561247216,64.3652561247216,0.0,ok
EXP-009b_full_balanced,results/EXP-009b_full_balanced/eval/eval_results.json,results/EXP-009b_full_balanced/eval/metrics.json,449,449,84.63251670378618,84.63251670378618,0.0,85.30066815144765,85.30066815144765,0.0,ok
EXP-009b_full_balanced_s2,results/EXP-009b_full_balanced_s2/eval/eval_results.json,results/EXP-009b_full_balanced_s2/eval/metrics.json,449,449,82.18262806236079,82.18262806236079,0.0,83.74164810690424,83.74164810690424,0.0,ok
EXP-009b_full_balanced_s3,results/EXP-009b_full_balanced_s3/eval/eval_results.json,results/EXP-009b_full_balanced_s3/eval/metrics.json,449,449,84.4097995545657,84.4097995545657,0.0,83.29621380846325,83.29621380846325,0.0,ok
EXP-LENGTH_confounded,results/EXP-LENGTH_confounded/eval/eval_results.json,results/EXP-LENGTH_confounded/eval/metrics.json,449,449,79.9554565701559,79.9554565701559,0.0,78.39643652561247,78.39643652561247,0.0,ok
GRPO_antiprompt_eval,results/GRPO_antiprompt_eval/eval_results.json,results/GRPO_antiprompt_eval/metrics.json,449,449,93.76391982182628,93.76391982182628,0.0,63.91982182628062,63.91982182628062,0.0,ok
GRPO_balanced_nodupe,results/GRPO_balanced_nodupe/eval/eval_results.json,results/GRPO_balanced_nodupe/eval/metrics.json,449,449,83.07349665924276,83.07349665924276,0.0,82.62806236080178,82.62806236080178,0.0,ok
GRPO_mistral7b_balanced,results/GRPO_mistral7b_balanced/eval/eval_results.json,results/GRPO_mistral7b_balanced/eval/metrics.json,449,449,81.73719376391982,81.73719376391982,0.0,70.8240534521158,70.8240534521158,0.0,ok
eval_unbal_test,results/GRPO_mistral7b_balanced/eval_unbal_test/eval_results.json,,,92,,80.43478260869566,,,5.434782608695652,,missing_metrics_json
