setting,confound,n_runs,n_samples,orig_acc_mean_pct,orig_acc_seed_std_pct,swap_acc_mean_pct,swap_acc_seed_std_pct,consistency_mean_pct,consistency_seed_std_pct,first_pos_rate_mean_pct,first_pos_rate_seed_std_pct,tie_rate_mean_pct,tie_rate_seed_std_pct,orig_acc_values_pct,consistency_values_pct,first_pos_rate_values_pct,source_paths,note
Baseline,none,1,449,80.17817371937639,,75.27839643652561,,81.51447661469933,,49.33184855233853,,5.122494432071269,,80.178174,81.514477,49.331849,results/baseline_qwen7b/eval_results.json,Untrained Qwen2.5 baseline.
Position-confounded GRPO-A,preferred response always first,3,449;449;449,94.72902746844841,0.7159354685221198,55.67928730512249,6.4202829868149545,59.76243504083148,7.625691219699895,68.11432813659985,3.6210091754290095,2.1158129175946545,0.29462709477333954,94.432071;95.545657;94.209354,60.801782;51.670379;66.815145,67.371938;72.048998;64.922049,results/EXP-006_accuracy_only/eval/eval_results.json;results/EXP-006_accuracy_s2/eval/eval_results.json;results/EXP-006_accuracy_s3/eval/eval_results.json,Primary unbalanced accuracy-reward GRPO comparison.
Length-confounded GRPO,longer response preferred in training,3,449;449;449,80.92056421677802,0.8431935183073881,75.79806978470675,1.120985068340129,79.7327394209354,1.4604540143211604,50.55679287305123,0.19287870908339047,3.637713437268003,0.4215967591536949,79.955457;81.291759;81.514477,78.396437;81.291759;79.510022,50.445434;50.779510;50.445434,results/EXP-LENGTH_confounded/eval/eval_results.json;results/length_confounded_s2/eval/eval_results.json;results/length_confounded_s3/eval/eval_results.json,Control trained on a length-confounded objective for 300 steps.
