model,baseline_acc_pct,unbalanced_grpo_acc_pct,balanced_grpo_acc_pct,apparent_gain_pp,genuine_gain_pp,shortcut_gain_pp,source_paths,note
Qwen2.5-7B,80.17817371937639,94.65478841870825,83.69710467706012,14.476614699331858,3.5189309576837413,10.957683741648117,results/baseline_qwen7b/eval_results.json;results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json;results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json,Derived from canonical cross-model original-order accuracy rows.
Qwen3-8B,85.96881959910914,88.71566443949519,87.41648106904232,2.7468448403860424,1.4476614699331813,1.299183370452861,results/baseline_qwen3_8b/eval/eval_results.json;results/GRPO_qwen3_8b_unbalanced/eval/eval_results.json;results/GRPO_qwen3_8b_unbalanced_s2/eval/eval_results.json;results/GRPO_qwen3_8b_unbal_s3/eval/eval_results.json;results/GRPO_qwen3_8b_balanced/eval/eval_results.json;results/GRPO_qwen3_8b_balanced_s2/eval/eval_results.json,Derived from canonical cross-model original-order accuracy rows.
Mistral-7B,65.70155902004454,98.44097995545657,81.06904231625836,32.73942093541202,15.367483296213813,17.371937639198208,results/baseline_mistral7b/eval/metrics.json;results/GRPO_mistral7b_unbal/eval/eval_results.json;results/GRPO_mistral7b_unbal_s2/eval/eval_results.json;results/GRPO_mistral7b_unbal_s3/eval/eval_results.json;results/GRPO_mistral7b_balanced/eval/eval_results.json;results/GRPO_mistral7b_balanced_s2/eval/eval_results.json,Derived from canonical cross-model original-order accuracy rows.
