setting,n_runs,n_samples,standard_accuracy_mean_pct,standard_accuracy_seed_std_pct,coverage_mean_pct,coverage_seed_std_pct,covered_accuracy_mean_pct,covered_accuracy_seed_std_pct,random_fallback_accuracy_mean_pct,random_fallback_accuracy_seed_std_pct,inconsistent_orig_correct_rate_mean_pct,inconsistent_orig_correct_rate_seed_std_pct,consistent_pairs,inconsistent_pairs,source_paths,note
Baseline,1,449,80.17817371937639,,81.51447661469933,,84.15300546448088,,77.83964365256125,,62.65060240963856,,366,83,results/baseline_qwen7b/eval_results.json,Untrained Qwen2.5 baseline.
SFT unbalanced,1,449,100.0,,0.0,,0.0,,50.0,,100.0,,0,449,results/SFT_unbalanced/eval/eval_results.json,Unbalanced SFT endpoint.
SFT balanced,1,449,91.31403118040089,,87.08240534521158,,96.16368286445012,,90.20044543429844,,58.620689655172406,,391,58,results/SFT_balanced/eval/eval_results.json,Balanced SFT endpoint.
GRPO acc-only unbalanced,3,449;449;449,94.72902746844841,0.7159354685221198,59.76243504083148,7.625691219699895,92.35926908340701,0.7197780706407889,75.27839643652563,2.8105633550387443,98.40427127177506,0.8290024251907021,273;232;300,176;217;149,results/EXP-006_accuracy_only/eval/eval_results.json;results/EXP-006_accuracy_s2/eval/eval_results.json;results/EXP-006_accuracy_s3/eval/eval_results.json,Multi-seed unbalanced accuracy-reward GRPO.
GRPO full unbalanced,4,449;449;449;449,94.65478841870825,0.909238954262504,58.74164810690423,9.091252922889009,92.3363037685198,0.6271483759311325,74.8608017817372,3.819209496579624,97.8723539029958,0.8043752316563324,277;203;286;289,172;246;163;160,results/EXP-009_full_composite/eval/eval_results.json;results/EXP-009_full_composite_s2/eval/eval_results.json;results/EXP-009_full_composite_s3/eval/eval_results.json;results/EXP-009_full_s4/eval/eval_results.json,Multi-seed unbalanced full-reward GRPO.
GRPO full balanced,5,449;449;449;449;449,83.69710467706012,1.1068840659054944,84.00890868596882,0.7618098608680194,88.80929820973466,0.6372992002192236,82.60579064587972,0.7609955262035588,56.78912411789124,7.226150429858012,383;376;374;376;377,66;73;75;73;72,results/EXP-009b_full_balanced/eval/eval_results.json;results/EXP-009b_full_balanced_s2/eval/eval_results.json;results/EXP-009b_full_balanced_s3/eval/eval_results.json;results/balanced_full_s4/eval/eval_results.json;results/balanced_full_s5/eval/eval_results.json,Multi-seed balanced full-reward GRPO.
